epoch,open,high,low,close
1782826200,4038.0,4041.7,4037.8,4040.2
1782826260,4039.9,4041.6,4035.6,4035.9
1782826320,4036.2,4037.7,4035.5,4036.3
1782826380,4035.3,4036.3,4033.5,4035.5
1782826440,4035.3,4035.8,4034.0,4035.3
1782826500,4036.2,4037.6,4034.5,4034.7
1782826560,4034.6,4035.3,4028.4,4028.6
1782826620,4028.5,4030.5,4027.2,4030.5
1782826680,4030.4,4032.2,4029.7,4031.2
1782826740,4030.9,4030.9,4027.4,4028.1
1782826800,4028.0,4032.8,4027.8,4032.1
1782826860,4032.1,4035.3,4032.1,4034.2
1782826920,4034.0,4034.0,4030.4,4033.5
1782826980,4033.0,4038.3,4032.9,4037.7
1782827040,4037.8,4040.9,4037.4,4039.3
1782827100,4039.5,4039.8,4036.8,4037.4
1782827160,4037.1,4042.3,4036.5,4041.1
1782827220,4040.6,4041.7,4038.3,4039.1
1782827280,4039.0,4042.1,4038.2,4039.8
1782827340,4040.0,4041.1,4038.0,4038.5
1782827400,4038.5,4041.6,4038.5,4041.3
1782827460,4041.2,4043.2,4040.1,4042.1
1782827520,4042.0,4044.3,4040.8,4042.9
1782827580,4043.0,4047.0,4042.8,4045.7
1782827640,4046.0,4046.1,4043.0,4043.0
1782827700,4043.0,4044.7,4042.9,4044.0
1782827760,4044.4,4046.7,4044.4,4046.0
1782827820,4046.0,4046.1,4042.8,4042.8
1782827880,4042.9,4044.2,4041.3,4043.9
1782827940,4043.7,4044.4,4042.2,4043.9
1782828000,4044.4,4044.9,4039.5,4042.4
1782828060,4042.3,4045.8,4040.9,4044.2
1782828120,4043.7,4044.0,4041.4,4042.2
1782828180,4042.3,4042.8,4039.5,4040.6
1782828240,4040.5,4043.5,4039.8,4040.4
1782828300,4040.8,4044.4,4040.7,4041.6
1782828360,4041.3,4043.8,4039.8,4043.4
1782828420,4043.5,4046.9,4043.3,4044.6
1782828480,4044.4,4046.0,4044.0,4045.4
1782828540,4045.0,4059.9,4045.0,4058.0
1782828600,4057.5,4064.7,4055.3,4061.5
1782828660,4061.3,4063.2,4054.8,4055.8
1782828720,4055.7,4057.2,4051.6,4054.3
1782828780,4054.2,4055.8,4052.6,4054.0
1782828840,4053.8,4058.8,4053.3,4058.0
1782828900,4057.9,4064.2,4057.7,4061.2
1782828960,4061.4,4061.6,4058.5,4059.7
1782829020,4060.0,4062.0,4058.7,4059.7
1782829080,4059.5,4063.0,4059.0,4062.0
1782829140,4062.1,4064.7,4060.5,4063.7
1782829200,4063.8,4066.4,4062.5,4065.9
1782829260,4065.8,4070.2,4064.8,4067.8
1782829320,4067.9,4070.1,4065.9,4069.2
1782829380,4069.3,4075.7,4068.0,4073.4
1782829440,4073.4,4078.1,4073.4,4077.3
1782829500,4077.6,4077.6,4072.6,4074.1
1782829560,4073.9,4074.3,4071.4,4073.2
1782829620,4073.6,4074.3,4070.0,4071.8
1782829680,4071.9,4073.0,4071.0,4072.8
1782829740,4073.2,4073.5,4068.1,4068.8
1782829800,4069.0,4072.2,4068.2,4070.0
1782829860,4070.3,4073.3,4069.8,4071.0
1782829920,4071.1,4072.4,4069.1,4069.5
1782829980,4069.3,4069.3,4067.4,4067.8
1782830040,4067.8,4068.6,4066.0,4066.5
1782830100,4066.4,4068.3,4063.6,4066.4
1782830160,4066.5,4067.7,4065.3,4066.3
1782830220,4066.4,4067.1,4063.0,4063.4
1782830280,4063.3,4064.2,4060.3,4060.5
1782830340,4060.4,4064.1,4059.2,4063.9
1782830400,4064.0,4068.5,4063.5,4064.1
1782830460,4064.3,4065.8,4062.8,4064.9
1782830520,4064.7,4066.5,4063.3,4064.9
1782830580,4064.7,4066.5,4064.7,4066.1
1782830640,4066.0,4067.3,4065.1,4065.4
1782830700,4065.8,4065.8,4062.1,4062.4
1782830760,4062.8,4063.2,4059.4,4059.4
1782830820,4059.8,4062.3,4059.0,4062.1
1782830880,4061.9,4063.8,4058.5,4059.4
1782830940,4059.7,4060.4,4058.0,4058.8
1782831000,4058.6,4061.8,4058.6,4060.2
1782831060,4060.0,4061.9,4059.0,4061.5
1782831120,4060.0,4060.4,4058.0,4059.2
1782831180,4059.0,4060.3,4058.2,4058.2
1782831240,4058.5,4058.9,4056.4,4057.8
1782831300,4058.2,4059.2,4056.9,4058.3
1782831360,4058.2,4058.6,4055.9,4057.0
1782831420,4056.8,4057.2,4054.4,4055.0
1782831480,4054.9,4055.5,4053.3,4053.9
1782831540,4054.1,4054.7,4051.8,4052.0
