epoch,open,high,low,close
1781794800,4271.9,4274.0,4267.5,4270.3
1781795100,4270.1,4274.2,4268.6,4272.7
1781795400,4272.1,4273.8,4265.5,4266.3
1781795700,4266.4,4268.4,4258.2,4261.2
1781796000,4261.2,4263.7,4258.4,4259.2
1781796300,4259.9,4261.2,4253.2,4254.9
1781796600,4254.2,4255.6,4245.4,4252.2
1781796900,4252.2,4253.2,4242.6,4245.8
1781797200,4246.2,4254.5,4246.1,4250.5
1781797500,4250.2,4250.6,4245.7,4245.9
1781797800,4246.1,4247.2,4241.7,4243.3
1781798100,4243.4,4249.2,4243.3,4245.5
1781798400,4245.8,4251.1,4245.0,4245.8
1781798700,4245.7,4252.5,4245.0,4250.8
1781799000,4251.6,4252.4,4246.5,4246.6
1781799300,4246.8,4247.9,4241.3,4242.5
1781799600,4242.6,4246.1,4241.2,4241.7
1781799900,4241.4,4245.3,4241.3,4244.0
1781800200,4244.6,4248.9,4240.8,4241.1
1781800500,4241.1,4242.6,4234.2,4242.4
1781800800,4242.5,4245.2,4239.7,4241.3
1781801100,4241.4,4241.6,4236.6,4237.3
1781801400,4236.9,4237.8,4233.0,4236.6
1781801700,4236.7,4238.7,4233.0,4238.7
1781802000,4238.7,4243.7,4237.8,4243.0
1781802300,4242.9,4245.9,4242.4,4243.8
1781802600,4244.1,4247.5,4241.1,4247.3
1781802900,4246.8,4250.6,4246.3,4249.4
1781803200,4249.4,4250.9,4246.2,4248.0
1781803500,4247.5,4248.1,4244.8,4245.3
1781803800,4245.1,4247.1,4242.4,4242.4
1781804100,4242.0,4244.4,4241.5,4243.2
1781804400,4243.5,4249.4,4243.3,4249.4
1781804700,4249.0,4249.0,4246.3,4247.8
1781805000,4248.2,4252.5,4248.0,4252.1
1781805300,4251.3,4251.7,4248.9,4249.5
1781805600,4249.2,4249.5,4246.2,4247.4
1781805900,4247.7,4251.1,4247.7,4250.9
1781806200,4250.9,4252.1,4247.3,4247.3
1781806500,4247.2,4249.0,4245.2,4247.3
1781806800,4246.9,4247.9,4245.3,4246.9
1781807100,4247.0,4248.3,4244.4,4245.2
1781807400,4245.1,4245.2,4240.6,4241.6
1781807700,4242.1,4242.2,4239.5,4240.0
1781808000,4240.0,4244.2,4239.6,4243.8
1781808300,4243.7,4244.2,4239.3,4240.8
1781808600,4240.7,4241.6,4238.0,4239.9
1781808900,4240.0,4240.9,4237.4,4237.7
1781809200,4237.9,4238.4,4231.0,4231.9
1781809500,4231.8,4232.0,4226.5,4227.7
1781809800,4227.5,4228.6,4223.1,4226.7
1781810100,4226.7,4227.5,4221.0,4224.0
1781810400,4224.0,4227.1,4223.9,4224.7
1781810700,4224.4,4226.9,4224.0,4224.1
1781811000,4224.0,4226.1,4220.3,4222.4
1781811300,4222.5,4229.3,4222.0,4229.3
1781811600,4229.0,4234.0,4229.0,4233.4
1781811900,4233.3,4235.8,4232.6,4235.6
1781812200,4235.0,4236.9,4234.4,4236.1
1781812500,4236.0,4237.7,4233.3,4236.2
