epoch,open,high,low,close
1780493400,4477.7,4481.7,4474.2,4476.9
1780493700,4476.4,4480.6,4474.4,4477.2
1780494000,4476.7,4478.4,4454.7,4455.3
1780494300,4454.6,4466.6,4454.0,4465.3
1780494600,4465.3,4475.0,4463.4,4472.0
1780494900,4472.2,4478.1,4469.5,4475.2
1780495200,4473.9,4479.4,4470.5,4474.3
1780495500,4474.5,4480.4,4472.9,4478.8
1780495800,4478.4,4484.7,4478.4,4482.5
1780496100,4482.5,4486.5,4472.4,4475.9
1780496400,4475.6,4479.6,4473.2,4477.7
1780496700,4477.7,4480.2,4474.6,4479.8
1780497000,4479.8,4481.3,4475.4,4476.8
1780497300,4477.4,4481.8,4476.8,4479.5
1780497600,4479.9,4480.2,4475.0,4476.2
1780497900,4475.9,4483.1,4475.8,4482.2
1780498200,4481.9,4488.3,4478.6,4487.2
1780498500,4487.3,4487.3,4483.6,4485.3
1780498800,4485.7,4486.5,4481.0,4481.4
1780499100,4481.4,4481.4,4476.1,4477.3
1780499400,4477.4,4480.3,4473.0,4473.9
1780499700,4473.7,4479.0,4473.2,4473.6
1780500000,4473.6,4474.4,4467.2,4471.5
1780500300,4470.9,4473.9,4467.5,4473.6
1780500600,4472.9,4473.9,4468.9,4469.0
1780500900,4469.1,4471.0,4464.8,4467.0
1780501200,4467.4,4470.9,4466.2,4468.4
1780501500,4468.0,4470.4,4466.0,4469.7
1780501800,4469.8,4472.0,4468.1,4469.2
1780502100,4468.7,4470.6,4468.7,4469.8
1780502400,4470.0,4471.0,4467.7,4470.2
1780502700,4470.7,4472.1,4465.1,4467.5
1780503000,4467.2,4468.7,4465.2,4467.0
1780503300,4467.3,4469.1,4464.4,4466.2
1780503600,4466.1,4467.9,4461.9,4464.1
1780503900,4463.9,4465.9,4461.1,4465.3
1780504200,4465.3,4468.8,4465.0,4468.0
1780504500,4467.9,4468.1,4464.1,4464.1
1780504800,4464.1,4467.1,4463.3,4467.1
1780505100,4466.9,4468.5,4465.5,4465.7
1780505400,4465.9,4467.6,4464.7,4466.0
1780505700,4465.8,4471.2,4465.4,4469.4
1780506000,4469.9,4472.9,4469.6,4472.4
1780506300,4472.3,4476.8,4471.3,4475.1
1780506600,4475.4,4475.5,4469.5,4470.1
1780506900,4469.8,4471.5,4469.5,4470.6
1780507200,4470.6,4470.8,4468.1,4470.0
1780507500,4470.4,4470.9,4465.6,4467.1
1780507800,4466.9,4468.6,4463.4,4468.0
1780508100,4468.0,4468.5,4465.8,4468.1
1780508400,4467.9,4470.2,4467.2,4468.5
1780508700,4468.5,4468.5,4465.7,4466.1
1780509000,4466.2,4467.6,4464.8,4465.9
1780509300,4466.1,4467.3,4465.8,4467.2
1780509600,4467.1,4468.4,4465.9,4467.8
1780509900,4467.4,4467.6,4464.3,4465.4
1780510200,4465.3,4466.6,4463.3,4464.5
1780510500,4464.7,4465.7,4463.6,4465.7
1780510800,4466.0,4467.5,4462.0,4466.9
1780511100,4466.9,4468.9,4466.6,4468.4
1780511400,4468.2,4470.9,4467.0,4467.0
1780511700,4467.0,4467.3,4465.0,4466.6
1780512000,4466.5,4468.5,4465.3,4468.2
1780512300,4467.8,4469.9,4467.8,4468.0
1780512600,4468.3,4468.9,4468.1,4468.5
1780512900,4468.0,4470.9,4467.7,4470.1
1780513200,4469.8,4477.1,4469.5,4476.8
1780513500,4476.6,4477.5,4474.7,4475.4
1780513800,4475.5,4477.5,4474.6,4477.3
1780514100,4477.3,4479.9,4476.3,4479.1
1780514400,4479.1,4480.0,4475.8,4475.8
1780514700,4476.1,4476.3,4474.2,4475.6
1780515000,4475.8,4477.4,4475.1,4476.1
1780515300,4476.4,4476.7,4475.5,4475.5
1780515600,4475.8,4476.6,4474.7,4475.1
1780515900,4474.6,4475.4,4472.7,4475.0
1780516200,4474.8,4475.4,4473.0,4473.4
1780516500,4473.4,4473.4,4471.2,4472.0
1780516800,4471.9,4473.6,4470.3,4470.6
