epoch,open,high,low,close
1781616600,4356.0,4361.9,4354.5,4359.3
1781616900,4359.6,4361.6,4357.6,4359.0
1781617200,4358.6,4360.8,4356.3,4359.9
1781617500,4360.2,4361.7,4355.1,4358.8
1781617800,4358.8,4361.6,4355.9,4358.1
1781618100,4357.8,4357.9,4352.6,4352.7
1781618400,4352.5,4359.9,4352.4,4359.9
1781618700,4359.9,4360.0,4354.2,4354.8
1781619000,4355.1,4357.3,4353.5,4356.6
1781619300,4356.5,4356.5,4343.5,4344.2
1781619600,4344.0,4347.1,4342.3,4346.0
1781619900,4346.3,4346.7,4338.2,4340.5
1781620200,4340.7,4342.2,4333.7,4338.4
1781620500,4338.5,4346.5,4338.3,4345.9
1781620800,4345.9,4349.3,4344.5,4345.1
1781621100,4345.1,4347.8,4343.7,4346.4
1781621400,4345.7,4348.4,4344.4,4345.2
1781621700,4345.5,4345.5,4342.3,4344.4
1781622000,4344.4,4347.7,4342.9,4344.0
1781622300,4343.7,4346.5,4343.4,4345.0
1781622600,4344.7,4347.2,4343.7,4345.1
1781622900,4345.2,4349.4,4344.5,4345.7
1781623200,4346.1,4348.4,4341.4,4342.2
1781623500,4342.1,4347.4,4341.9,4346.7
1781623800,4346.5,4348.4,4345.0,4347.0
1781624100,4347.4,4350.4,4343.6,4346.4
1781624400,4346.3,4347.5,4344.2,4347.3
1781624700,4347.3,4347.4,4342.6,4345.8
1781625000,4346.3,4359.3,4345.4,4359.0
1781625300,4359.0,4364.5,4355.7,4355.7
1781625600,4355.6,4360.0,4355.4,4358.1
1781625900,4358.5,4365.1,4358.4,4362.8
1781626200,4362.5,4368.1,4361.8,4366.7
1781626500,4367.0,4367.5,4364.1,4366.9
1781626800,4366.8,4366.8,4362.0,4364.1
1781627100,4363.7,4366.6,4363.2,4365.7
1781627400,4365.4,4366.2,4361.4,4361.9
1781627700,4361.7,4365.6,4361.0,4365.3
1781628000,4365.4,4366.3,4364.3,4365.0
1781628300,4365.0,4367.0,4364.6,4364.9
1781628600,4365.0,4367.6,4362.3,4362.6
1781628900,4362.6,4363.6,4361.2,4361.8
1781629200,4361.5,4361.7,4358.8,4360.6
1781629500,4360.1,4362.3,4359.5,4360.8
1781629800,4361.0,4361.1,4354.3,4356.6
1781630100,4356.3,4357.0,4351.2,4352.1
1781630400,4352.3,4352.7,4346.4,4349.6
1781630700,4349.4,4356.8,4349.1,4356.0
1781631000,4356.1,4359.4,4355.4,4358.5
1781631300,4358.7,4361.3,4357.2,4357.9
1781631600,4358.3,4360.6,4357.5,4359.9
1781631900,4359.9,4359.9,4357.2,4358.4
1781632200,4359.0,4361.8,4358.3,4360.7
1781632500,4360.6,4361.7,4360.3,4361.5
1781632800,4361.8,4364.3,4361.0,4362.0
1781633100,4362.4,4362.5,4360.4,4361.7
1781633400,4361.9,4364.0,4361.9,4363.2
1781633700,4362.7,4363.6,4360.7,4361.4
1781634000,4361.6,4362.3,4360.5,4361.1
1781634300,4361.3,4363.1,4360.6,4363.0
1781634600,4362.7,4364.4,4361.4,4361.6
1781634900,4361.6,4362.4,4359.6,4359.8
1781635200,4360.0,4360.9,4359.6,4360.0
1781635500,4360.2,4360.9,4357.8,4357.8
1781635800,4357.9,4359.8,4357.4,4359.7
1781636100,4359.5,4360.8,4358.8,4360.0
1781636400,4359.6,4363.9,4359.2,4363.3
1781636700,4363.1,4364.3,4362.2,4362.3
1781637000,4362.1,4362.6,4360.3,4360.5
1781637300,4360.6,4360.6,4357.6,4360.1
1781637600,4359.9,4362.2,4359.9,4361.2
1781637900,4361.4,4362.3,4361.0,4361.0
1781638200,4361.0,4361.4,4359.8,4360.5
1781638500,4360.6,4361.1,4358.9,4359.3
1781638800,4359.0,4360.6,4358.4,4360.0
1781639100,4360.3,4361.4,4358.7,4359.0
1781639400,4359.4,4360.6,4355.1,4355.7
1781639700,4355.5,4356.1,4352.4,4355.6
1781640000,4355.3,4355.6,4352.6,4354.1
