epoch,open,high,low,close
1781098200,4172.0,4176.8,4165.5,4165.9
1781098500,4166.0,4191.9,4164.8,4188.9
1781098800,4189.2,4203.1,4186.1,4203.1
1781099100,4202.1,4209.0,4196.3,4209.0
1781099400,4208.8,4209.5,4199.0,4203.6
1781099700,4203.5,4207.0,4198.4,4203.0
1781100000,4202.6,4204.1,4193.8,4194.5
1781100300,4194.7,4199.9,4193.0,4196.6
1781100600,4196.8,4203.5,4193.6,4197.6
1781100900,4198.0,4198.5,4190.2,4191.4
1781101200,4191.3,4196.1,4185.4,4193.2
1781101500,4193.1,4194.6,4182.6,4184.2
1781101800,4184.0,4186.4,4178.2,4183.5
1781102100,4183.5,4185.4,4175.7,4181.1
1781102400,4180.9,4184.3,4172.7,4173.0
1781102700,4172.5,4174.6,4160.5,4163.6
1781103000,4163.6,4165.9,4160.0,4160.8
1781103300,4160.8,4161.0,4139.7,4147.1
1781103600,4147.7,4159.2,4145.5,4151.7
1781103900,4151.4,4151.8,4144.2,4148.5
1781104200,4149.0,4149.6,4141.5,4146.3
1781104500,4145.7,4146.3,4135.9,4138.1
1781104800,4138.1,4156.6,4137.6,4152.4
1781105100,4152.4,4159.7,4150.4,4150.5
1781105400,4150.8,4154.3,4146.6,4151.1
1781105700,4151.1,4153.8,4145.4,4147.5
1781106000,4147.1,4153.2,4144.9,4152.1
1781106300,4151.6,4154.3,4131.5,4141.0
1781106600,4140.9,4148.6,4129.6,4143.5
1781106900,4143.2,4152.1,4138.0,4151.9
1781107200,4152.7,4154.7,4145.9,4149.6
1781107500,4149.7,4154.4,4147.5,4152.9
1781107800,4153.0,4156.1,4148.0,4152.2
1781108100,4152.2,4157.1,4150.9,4155.8
1781108400,4156.3,4158.8,4151.4,4153.0
1781108700,4152.9,4155.3,4148.8,4150.6
1781109000,4150.3,4152.9,4143.2,4152.3
1781109300,4152.1,4155.0,4148.8,4151.1
1781109600,4150.9,4151.0,4143.1,4145.2
1781109900,4144.8,4145.5,4138.7,4143.2
1781110200,4142.8,4145.8,4140.7,4143.0
1781110500,4142.9,4145.2,4139.9,4144.6
1781110800,4144.5,4157.6,4143.9,4155.0
1781111100,4155.1,4155.1,4142.0,4143.1
1781111400,4142.9,4143.3,4137.3,4140.3
1781111700,4140.4,4143.0,4136.0,4136.5
1781112000,4136.5,4139.0,4132.5,4134.4
1781112300,4134.0,4137.9,4131.7,4133.8
1781112600,4133.6,4135.1,4128.0,4133.9
1781112900,4133.7,4134.6,4127.2,4128.0
1781113200,4128.2,4129.2,4124.7,4124.8
1781113500,4125.3,4135.6,4123.5,4134.4
1781113800,4134.2,4136.5,4126.6,4132.8
1781114100,4133.0,4136.7,4132.6,4134.9
1781114400,4135.3,4144.0,4134.6,4143.2
1781114700,4143.5,4143.7,4137.5,4137.7
1781115000,4137.9,4141.1,4137.8,4138.8
1781115300,4139.0,4141.2,4133.6,4135.7
1781115600,4135.9,4138.4,4134.3,4136.3
1781115900,4136.3,4138.0,4132.8,4136.0
1781116200,4135.7,4135.9,4132.1,4132.3
1781116500,4132.0,4133.2,4129.7,4130.0
1781116800,4130.3,4133.0,4127.9,4128.2
1781117100,4128.1,4130.8,4127.3,4127.7
1781117400,4127.7,4127.7,4120.2,4125.0
1781117700,4124.7,4126.6,4122.3,4125.0
1781118000,4125.4,4125.8,4119.3,4119.7
1781118300,4119.7,4122.8,4118.6,4118.7
1781118600,4118.7,4118.7,4110.6,4112.7
1781118900,4112.5,4116.0,4111.2,4113.3
1781119200,4113.4,4114.0,4106.2,4108.6
1781119500,4108.5,4109.3,4105.0,4108.0
1781119800,4108.2,4112.6,4107.2,4109.8
1781120100,4109.6,4110.5,4105.5,4109.5
1781120400,4109.5,4115.8,4109.5,4115.1
1781120700,4115.4,4116.1,4109.1,4111.2
1781121000,4111.7,4115.4,4109.2,4110.7
1781121300,4110.7,4110.7,4105.1,4106.2
1781121600,4106.0,4106.4,4098.5,4100.6
