epoch,open,high,low,close
1781184600,4096.2,4102.5,4092.9,4096.2
1781184900,4095.6,4103.7,4089.2,4093.6
1781185200,4093.2,4099.7,4088.0,4097.4
1781185500,4097.6,4114.3,4094.4,4104.8
1781185800,4104.9,4113.5,4104.9,4106.1
1781186100,4106.5,4112.5,4103.3,4104.3
1781186400,4104.0,4106.6,4096.0,4098.9
1781186700,4098.3,4098.5,4081.1,4082.8
1781187000,4083.4,4084.4,4072.8,4081.6
1781187300,4081.7,4086.9,4075.8,4084.0
1781187600,4083.8,4102.8,4083.4,4100.0
1781187900,4100.2,4105.6,4094.4,4095.3
1781188200,4095.3,4098.5,4091.3,4093.3
1781188500,4092.1,4100.9,4091.6,4099.4
1781188800,4099.7,4104.4,4096.8,4097.2
1781189100,4097.3,4100.2,4093.6,4099.3
1781189400,4098.6,4101.4,4094.4,4097.9
1781189700,4097.5,4099.7,4092.7,4094.4
1781190000,4094.2,4097.2,4090.9,4094.1
1781190300,4094.3,4107.5,4092.7,4101.8
1781190600,4102.2,4108.8,4100.2,4101.3
1781190900,4101.9,4107.5,4100.8,4103.2
1781191200,4102.7,4110.6,4097.6,4100.1
1781191500,4100.1,4106.0,4096.0,4102.9
1781191800,4102.9,4103.7,4098.5,4100.6
1781192100,4100.7,4108.3,4099.9,4107.3
1781192400,4107.6,4111.9,4107.4,4109.0
1781192700,4109.7,4113.0,4109.0,4111.0
1781193000,4111.4,4116.8,4109.7,4112.2
1781193300,4111.6,4111.6,4106.7,4110.0
1781193600,4110.2,4114.6,4108.0,4108.9
1781193900,4108.8,4114.9,4108.0,4114.3
1781194200,4113.5,4124.6,4112.4,4124.0
1781194500,4123.8,4129.0,4117.2,4117.9
1781194800,4118.2,4119.6,4108.1,4109.4
1781195100,4109.3,4110.0,4100.4,4100.8
1781195400,4100.4,4109.1,4099.5,4105.9
1781195700,4105.6,4107.7,4102.7,4103.8
1781196000,4104.0,4106.6,4102.3,4103.3
1781196300,4103.0,4105.5,4101.4,4102.6
1781196600,4102.5,4103.7,4098.9,4100.9
1781196900,4100.9,4103.6,4100.5,4101.2
1781197200,4101.5,4101.9,4092.9,4095.6
1781197500,4095.4,4098.9,4095.3,4097.5
1781197800,4097.8,4099.9,4093.3,4097.2
1781198100,4096.9,4099.8,4095.2,4099.4
1781198400,4099.2,4102.1,4097.0,4101.3
1781198700,4101.3,4123.2,4099.2,4122.5
1781199000,4122.6,4171.0,4122.1,4170.8
1781199300,4169.9,4176.1,4159.2,4171.1
1781199600,4171.8,4191.8,4168.9,4188.2
1781199900,4188.4,4188.4,4174.6,4175.8
1781200200,4175.7,4182.8,4168.1,4174.8
1781200500,4173.9,4178.5,4167.4,4173.2
1781200800,4173.2,4176.7,4157.1,4159.6
1781201100,4159.0,4162.2,4152.0,4156.2
1781201400,4156.6,4167.7,4156.6,4167.5
1781201700,4167.2,4184.1,4165.7,4181.9
1781202000,4181.6,4183.5,4172.2,4177.1
1781202300,4177.3,4178.1,4171.6,4173.7
1781202600,4173.8,4179.2,4170.1,4175.5
1781202900,4175.6,4179.9,4173.8,4177.7
1781203200,4177.0,4186.6,4176.3,4186.0
1781203500,4185.8,4193.0,4185.3,4189.8
1781203800,4189.4,4191.3,4185.5,4186.1
1781204100,4186.6,4187.0,4181.8,4183.1
1781204400,4183.5,4195.8,4183.5,4195.8
1781204700,4195.5,4197.4,4190.9,4195.1
1781205000,4195.1,4211.0,4194.5,4209.9
1781205300,4210.0,4218.6,4207.7,4217.2
1781205600,4217.2,4219.5,4210.0,4213.3
1781205900,4212.9,4220.0,4211.1,4216.8
1781206200,4217.0,4236.0,4217.0,4235.8
1781206500,4235.8,4241.3,4229.3,4229.9
1781206800,4229.2,4238.5,4229.2,4230.9
1781207100,4231.3,4236.0,4230.8,4231.1
1781207400,4231.1,4236.4,4230.0,4236.4
1781207700,4236.2,4236.2,4228.2,4229.9
1781208000,4230.2,4237.1,4229.3,4229.7
