epoch,open,high,low,close
1781789400,4282.0,4289.2,4281.9,4288.6
1781789460,4288.2,4294.1,4287.3,4293.5
1781789520,4293.8,4295.6,4291.5,4293.6
1781789580,4293.9,4296.2,4287.8,4287.8
1781789640,4288.1,4293.2,4287.8,4291.5
1781789700,4291.5,4292.5,4288.2,4288.2
1781789760,4288.9,4290.7,4288.1,4288.5
1781789820,4288.4,4290.9,4287.9,4289.0
1781789880,4289.0,4291.9,4288.0,4291.2
1781789940,4290.9,4293.5,4289.0,4292.0
1781790000,4291.5,4291.6,4285.9,4286.5
1781790060,4286.4,4289.0,4285.8,4288.3
1781790120,4288.2,4288.8,4287.0,4287.8
1781790180,4288.0,4288.1,4282.5,4283.5
1781790240,4283.5,4285.5,4282.7,4283.6
1781790300,4283.8,4284.6,4278.6,4280.2
1781790360,4280.5,4281.2,4277.2,4277.5
1781790420,4277.5,4278.7,4272.8,4273.9
1781790480,4274.3,4275.8,4273.5,4273.7
1781790540,4273.4,4279.8,4272.2,4279.5
1781790600,4279.5,4280.9,4278.1,4279.9
1781790660,4279.9,4281.9,4278.1,4280.1
1781790720,4279.7,4279.7,4275.9,4278.6
1781790780,4278.5,4282.8,4278.5,4281.5
1781790840,4281.1,4281.6,4279.2,4280.3
1781790900,4280.6,4280.8,4272.6,4272.9
1781790960,4273.6,4274.3,4271.0,4273.9
1781791020,4273.6,4274.3,4269.9,4271.2
1781791080,4271.3,4272.6,4269.8,4272.0
1781791140,4271.7,4275.7,4271.0,4275.5
1781791200,4275.3,4277.3,4267.8,4268.4
1781791260,4269.1,4269.1,4260.0,4262.2
1781791320,4262.8,4265.5,4260.7,4261.6
1781791380,4261.4,4265.0,4260.5,4262.8
1781791440,4263.1,4267.3,4257.2,4266.8
1781791500,4266.5,4266.8,4260.1,4261.3
1781791560,4261.4,4266.7,4261.4,4263.8
1781791620,4262.8,4266.1,4262.1,4264.5
1781791680,4264.8,4264.8,4259.0,4259.5
1781791740,4259.5,4263.4,4258.8,4262.7
1781791800,4261.9,4262.6,4259.2,4261.1
1781791860,4261.4,4263.5,4259.8,4259.9
1781791920,4259.9,4261.7,4259.7,4260.6
1781791980,4260.9,4261.1,4258.3,4259.6
1781792040,4259.9,4261.5,4259.2,4260.2
1781792100,4259.7,4260.3,4255.0,4256.3
1781792160,4256.4,4264.6,4255.9,4263.8
1781792220,4263.7,4263.8,4260.6,4262.3
1781792280,4261.9,4266.0,4261.6,4265.1
1781792340,4265.2,4269.6,4265.2,4268.5
1781792400,4268.5,4268.7,4265.2,4267.9
1781792460,4267.7,4268.5,4266.6,4268.1
1781792520,4267.6,4271.2,4267.2,4268.1
1781792580,4269.1,4273.1,4268.3,4272.1
1781792640,4272.5,4275.1,4271.6,4272.0
1781792700,4272.1,4274.3,4271.8,4273.9
1781792760,4274.0,4274.6,4269.6,4270.3
1781792820,4270.6,4272.5,4270.6,4271.2
1781792880,4271.0,4271.9,4268.5,4269.3
1781792940,4269.4,4270.0,4263.5,4263.5
1781793000,4263.4,4265.6,4260.8,4261.8
1781793060,4261.9,4265.8,4261.4,4265.2
1781793120,4265.3,4267.4,4264.3,4264.9
1781793180,4265.5,4266.6,4264.8,4266.0
1781793240,4266.5,4269.0,4266.0,4268.5
1781793300,4269.0,4269.8,4267.0,4268.4
1781793360,4268.4,4270.9,4267.3,4270.3
1781793420,4270.5,4271.7,4269.6,4270.0
1781793480,4270.1,4270.7,4267.4,4269.7
1781793540,4270.1,4271.0,4267.7,4270.6
1781793600,4270.7,4270.7,4265.7,4265.7
1781793660,4265.9,4265.9,4260.7,4262.7
1781793720,4263.0,4263.7,4261.9,4263.2
1781793780,4263.7,4265.0,4260.3,4262.0
1781793840,4261.5,4265.8,4261.2,4263.8
1781793900,4263.5,4265.0,4262.1,4263.0
1781793960,4263.0,4264.3,4261.6,4264.1
1781794020,4264.4,4264.4,4259.4,4260.1
1781794080,4259.7,4263.6,4258.9,4262.9
1781794140,4263.0,4264.0,4260.5,4262.4
1781794200,4262.3,4262.3,4259.9,4259.9
1781794260,4260.1,4263.4,4259.3,4263.4
1781794320,4263.1,4265.7,4262.6,4264.3
1781794380,4264.2,4264.7,4262.8,4264.7
1781794440,4264.5,4266.4,4264.2,4266.1
1781794500,4266.1,4267.1,4265.1,4266.4
1781794560,4266.1,4266.9,4265.5,4266.0
1781794620,4266.2,4268.0,4265.9,4267.9
1781794680,4268.2,4273.7,4266.5,4273.4
1781794740,4273.1,4274.3,4270.9,4271.7
