epoch,open,high,low,close
1782307800,3991.3,4012.3,3990.0,4002.6
1782308100,4002.8,4023.8,4001.7,4022.1
1782308400,4022.1,4035.2,4017.3,4032.1
1782308700,4032.4,4037.5,4026.0,4036.6
1782309000,4036.3,4051.0,4035.5,4045.8
1782309300,4046.1,4059.0,4039.9,4054.9
1782309600,4054.9,4058.2,4038.6,4041.7
1782309900,4041.3,4048.1,4038.5,4045.5
1782310200,4045.7,4049.2,4036.0,4036.9
1782310500,4037.2,4038.2,4031.9,4035.6
1782310800,4035.6,4042.5,4031.4,4041.3
1782311100,4041.1,4045.5,4038.0,4041.1
1782311400,4041.1,4052.2,4040.9,4048.1
1782311700,4048.3,4049.6,4035.9,4037.0
1782312000,4037.1,4039.0,4028.2,4033.2
1782312300,4032.7,4033.0,4026.6,4028.4
1782312600,4028.4,4030.0,4022.5,4022.9
1782312900,4023.6,4025.7,4020.0,4025.0
1782313200,4025.4,4027.7,4017.5,4021.1
1782313500,4021.3,4021.4,4014.3,4017.2
1782313800,4016.7,4021.4,4015.3,4019.2
1782314100,4018.8,4028.8,4016.6,4028.2
1782314400,4028.3,4031.9,4024.9,4026.2
1782314700,4025.8,4032.0,4020.8,4031.9
1782315000,4031.7,4032.7,4023.2,4025.9
1782315300,4025.7,4027.1,4023.2,4023.8
1782315600,4023.8,4024.1,4018.1,4023.0
1782315900,4023.2,4032.0,4021.1,4030.1
1782316200,4030.0,4033.9,4020.2,4022.5
1782316500,4022.0,4022.9,4017.0,4019.5
1782316800,4019.4,4022.7,4016.7,4019.2
1782317100,4019.3,4023.7,4012.6,4017.5
1782317400,4017.4,4021.5,4016.5,4019.9
1782317700,4019.9,4023.3,4018.5,4020.0
1782318000,4019.8,4030.3,4019.6,4028.0
1782318300,4028.4,4034.3,4027.3,4033.7
1782318600,4033.0,4036.8,4030.1,4032.0
1782318900,4032.0,4039.7,4032.0,4035.0
1782319200,4035.0,4037.2,4026.4,4029.1
1782319500,4028.9,4029.2,4024.5,4024.8
1782319800,4024.4,4028.2,4024.3,4024.6
1782320100,4024.6,4026.2,4023.2,4023.4
1782320400,4023.7,4028.6,4022.7,4026.6
1782320700,4026.8,4027.7,4021.2,4023.5
1782321000,4024.9,4026.8,4022.5,4023.0
1782321300,4023.0,4024.4,4016.9,4017.6
1782321600,4017.2,4018.3,4009.9,4010.1
1782321900,4009.9,4013.5,4006.8,4007.4
1782322200,4007.8,4008.2,4000.4,4003.1
1782322500,4003.4,4005.0,4000.0,4003.0
1782322800,4002.7,4003.7,4000.0,4001.4
1782323100,4001.2,4004.1,3997.2,3997.2
1782323400,3997.0,3998.6,3993.7,3997.0
1782323700,3996.8,3999.7,3989.5,3989.8
1782324000,3989.9,3992.3,3975.7,3983.4
1782324300,3983.8,4001.0,3983.7,4000.6
1782324600,4000.7,4009.5,3997.5,4005.6
1782324900,4005.7,4009.3,4003.0,4004.2
1782325200,4004.2,4005.0,3996.6,4004.1
1782325500,4005.0,4009.5,4003.7,4007.3
1782325800,4007.9,4011.7,4004.1,4006.0
1782326100,4006.3,4006.7,4000.4,4002.0
1782326400,4001.9,4002.9,3998.9,4000.8
1782326700,3998.9,4000.1,3994.1,3996.5
1782327000,3996.7,3999.3,3993.9,3998.7
1782327300,3998.6,4001.3,3997.1,3998.1
1782327600,3998.7,4002.2,3994.7,3999.4
1782327900,4000.1,4000.6,3993.5,3994.4
1782328200,3993.9,3994.0,3990.4,3993.7
1782328500,3992.9,3994.4,3990.6,3994.2
1782328800,3994.2,3996.6,3993.4,3995.4
1782329100,3996.0,4001.1,3995.0,4000.7
1782329400,4001.0,4005.6,4000.7,4002.6
1782329700,4002.6,4002.6,3997.6,3999.4
1782330000,3999.3,4000.7,3996.4,4000.0
1782330300,3999.7,4001.8,3998.3,3999.1
1782330600,3998.9,4008.2,3997.8,4007.8
1782330900,4007.8,4007.8,4001.9,4004.9
1782331200,4005.5,4015.7,4001.6,4014.7
