epoch,open,high,low,close
1783344600,4154.3,4159.2,4154.3,4155.7
1783344660,4155.7,4158.5,4154.6,4157.9
1783344720,4158.8,4160.2,4157.2,4160.0
1783344780,4160.1,4160.1,4158.3,4159.1
1783344840,4158.7,4162.6,4158.7,4161.2
1783344900,4161.3,4161.6,4158.3,4158.9
1783344960,4159.2,4160.1,4156.2,4156.9
1783345020,4157.4,4159.2,4157.4,4158.2
1783345080,4158.6,4161.1,4158.5,4158.8
1783345140,4159.0,4161.4,4158.9,4161.3
1783345200,4161.3,4162.6,4160.3,4161.3
1783345260,4161.2,4162.6,4158.8,4159.7
1783345320,4159.8,4159.8,4156.8,4158.7
1783345380,4158.5,4158.7,4156.5,4157.8
1783345440,4158.1,4161.8,4158.1,4161.5
1783345500,4161.5,4161.5,4157.2,4161.5
1783345560,4158.1,4159.4,4153.7,4154.8
1783345620,4154.5,4155.1,4153.8,4154.8
1783345680,4154.5,4157.3,4153.8,4156.4
1783345740,4156.4,4158.7,4156.1,4158.7
1783345800,4158.8,4160.9,4156.8,4156.8
1783345860,4157.5,4157.9,4156.3,4157.2
1783345920,4156.8,4157.3,4154.2,4155.9
1783345980,4155.6,4157.4,4155.2,4156.9
1783346040,4156.6,4159.2,4156.6,4158.2
1783346100,4157.7,4158.5,4154.4,4154.7
1783346160,4154.7,4155.3,4152.6,4154.2
1783346220,4154.1,4154.8,4153.0,4153.7
1783346280,4153.5,4155.0,4147.1,4151.3
1783346340,4151.1,4153.9,4151.1,4153.0
1783346400,4152.5,4154.8,4150.6,4152.2
1783346460,4152.3,4157.6,4152.3,4156.3
1783346520,4156.3,4159.5,4155.6,4156.5
1783346580,4156.3,4156.5,4153.7,4153.8
1783346640,4153.5,4156.0,4152.3,4152.7
1783346700,4153.4,4155.3,4152.2,4153.0
1783346760,4152.9,4153.7,4151.4,4151.7
1783346820,4152.5,4152.9,4146.0,4147.6
1783346880,4147.3,4148.3,4145.8,4147.1
1783346940,4147.1,4149.5,4146.2,4148.8
1783347000,4148.4,4156.7,4148.4,4156.7
1783347060,4156.4,4157.8,4153.9,4154.0
1783347120,4154.0,4155.5,4151.9,4154.1
1783347180,4154.3,4156.0,4154.3,4155.2
1783347240,4154.9,4154.9,4152.5,4152.5
1783347300,4153.3,4153.3,4148.7,4151.2
1783347360,4151.2,4151.6,4149.0,4150.4
1783347420,4150.3,4151.9,4149.5,4151.2
1783347480,4151.0,4151.3,4147.0,4147.5
1783347540,4147.6,4149.1,4146.9,4148.7
1783347600,4148.7,4150.5,4147.8,4147.8
1783347660,4147.7,4148.5,4145.2,4148.4
1783347720,4148.2,4151.2,4148.0,4149.4
1783347780,4149.3,4149.5,4146.4,4147.6
1783347840,4147.7,4148.5,4144.7,4144.9
1783347900,4145.3,4147.4,4145.1,4146.5
1783347960,4146.7,4147.8,4146.4,4147.6
1783348020,4147.7,4149.6,4145.5,4149.3
1783348080,4149.0,4151.2,4149.0,4150.4
1783348140,4150.5,4150.8,4148.7,4149.1
1783348200,4149.7,4150.4,4146.7,4148.5
1783348260,4149.1,4149.2,4145.8,4145.9
1783348320,4146.8,4149.0,4146.8,4148.4
1783348380,4149.0,4152.1,4148.5,4151.3
1783348440,4151.5,4153.7,4151.5,4153.4
1783348500,4153.2,4153.2,4151.7,4151.7
1783348560,4151.6,4152.2,4151.4,4151.6
1783348620,4151.3,4154.4,4151.0,4153.7
1783348680,4153.2,4153.2,4150.6,4153.2
1783348740,4150.6,4151.4,4148.4,4149.9
1783348800,4149.8,4151.4,4148.8,4151.2
1783348860,4150.8,4151.4,4147.7,4148.4
1783348920,4148.1,4149.0,4146.8,4147.4
1783348980,4147.7,4148.4,4146.3,4146.4
1783349040,4146.0,4146.5,4140.6,4142.6
1783349100,4142.2,4146.0,4141.1,4145.6
1783349160,4145.6,4146.8,4145.0,4145.5
1783349220,4145.1,4146.6,4144.6,4145.6
1783349280,4145.3,4146.2,4143.2,4146.2
1783349340,4146.1,4146.9,4145.7,4145.7
1783349400,4145.9,4148.1,4145.9,4147.2
1783349460,4147.2,4149.0,4147.2,4148.3
1783349520,4147.9,4148.3,4145.0,4146.6
1783349580,4146.4,4147.9,4146.4,4147.7
1783349640,4147.9,4148.0,4146.8,4147.6
1783349700,4148.0,4149.7,4147.4,4147.4
1783349760,4147.7,4147.9,4146.5,4147.9
1783349820,4147.9,4150.1,4147.4,4149.0
1783349880,4149.4,4149.7,4148.5,4148.9
1783349940,4149.1,4150.8,4149.1,4150.2
