epoch,open,high,low,close,volume
1721001600,2413.2,2413.7,2411.0,2413.2,0
1721005200,2413.3,2415.2,2409.6,2414.9,3482
1721008800,2415.0,2415.7,2412.9,2414.0,2509
1721012400,2414.0,2416.8,2413.1,2416.4,1246
1721016000,2416.5,2418.2,2415.4,2416.2,1329
1721019600,2416.3,2418.7,2412.8,2412.8,3738
1721023200,2413.0,2413.1,2406.8,2408.0,5030
1721026800,2408.0,2412.7,2406.1,2412.6,6153
1721030400,2412.6,2416.8,2411.5,2416.7,6474
1721034000,2416.7,2417.3,2413.3,2415.3,6993
1721037600,2415.4,2420.7,2415.4,2419.7,6187
1721041200,2419.7,2425.4,2419.5,2423.0,10964
1721044800,2423.2,2425.8,2418.2,2419.6,11763
1721048400,2419.5,2424.0,2416.3,2423.7,16493
1721052000,2423.7,2437.0,2422.8,2436.5,28887
1721055600,2436.5,2442.4,2436.3,2438.2,23613
1721059200,2438.2,2445.0,2434.6,2435.3,19069
1721062800,2435.3,2435.3,2425.2,2426.3,13525
1721066400,2426.3,2429.5,2424.5,2427.1,7001
1721070000,2427.0,2428.0,2424.8,2426.0,5241
1721073600,2426.1,2428.9,2425.5,2427.4,1710
1721080800,2427.1,2427.3,2425.5,2425.7,0
1721084400,2425.6,2427.3,2425.6,2427.1,975
1721088000,2427.1,2427.4,2424.5,2425.8,2301
1721091600,2425.9,2432.6,2425.8,2431.9,5318
1721095200,2432.0,2435.2,2430.8,2435.0,4927
1721098800,2434.9,2436.3,2431.6,2433.6,3577
1721102400,2433.4,2434.2,2429.9,2433.9,3333
1721106000,2433.6,2437.5,2432.8,2436.5,4448
1721109600,2436.5,2438.3,2432.4,2438.3,5513
1721113200,2438.4,2443.9,2437.4,2441.6,11309
1721116800,2441.5,2443.4,2438.2,2441.3,6548
1721120400,2441.5,2448.1,2439.9,2447.1,9572
1721124000,2447.2,2448.2,2444.4,2444.8,5514
1721127600,2444.8,2447.0,2442.8,2444.3,10323
1721131200,2444.1,2448.5,2433.8,2437.3,35537
1721134800,2437.0,2452.6,2435.4,2447.5,29147
1721138400,2447.5,2458.8,2445.2,2456.8,27679
1721142000,2456.9,2470.2,2456.8,2468.1,32124
1721145600,2468.2,2468.4,2462.7,2463.9,13193
1721149200,2463.9,2471.6,2463.4,2469.5,11102
1721152800,2469.5,2471.4,2467.3,2470.3,5132
1721156400,2470.3,2473.6,2468.0,2473.5,6488
1721160000,2473.4,2474.5,2471.7,2473.6,4020
1721167200,2473.2,2474.8,2470.8,2473.7,0
1721170800,2473.7,2474.5,2472.2,2473.0,1785
1721174400,2473.0,2478.0,2470.8,2473.4,5640
1721178000,2473.3,2486.2,2473.2,2484.6,12270
1721181600,2484.3,2487.4,2474.6,2479.7,8822
1721185200,2479.6,2479.7,2469.0,2476.6,8914
1721188800,2476.7,2477.6,2472.4,2472.6,3741
1721192400,2472.5,2475.6,2470.2,2470.2,4512
1721196000,2470.2,2472.6,2466.6,2471.4,7387
1721199600,2471.4,2479.2,2468.9,2479.1,10355
1721203200,2479.1,2483.4,2476.2,2479.6,10478
1721206800,2479.6,2480.0,2474.3,2479.5,6751
1721210400,2479.7,2480.9,2470.8,2472.3,5906
1721214000,2472.2,2478.0,2471.8,2474.6,6257
1721217600,2474.6,2480.1,2473.2,2478.2,13641
1721221200,2478.2,2488.2,2475.8,2487.7,36625
1721224800,2487.6,2488.4,2465.4,2468.0,44535
1721228400,2468.0,2470.7,2462.1,2468.0,19439
1721232000,2468.1,2469.7,2457.1,2459.9,19040
1721235600,2459.8,2463.7,2456.0,2456.7,11774
1721239200,2456.6,2462.4,2455.5,2462.1,4051
1721242800,2462.2,2464.7,2461.2,2462.3,5299
1721246400,2462.4,2463.7,2461.4,2463.1,1243
1721253600,2462.5,2463.1,2461.4,2462.6,0
1721257200,2462.5,2465.5,2462.5,2465.0,2312
1721260800,2465.0,2465.2,2461.1,2462.4,2847
1721264400,2462.3,2467.9,2461.2,2466.0,5361
1721268000,2465.8,2469.4,2463.6,2469.1,3162
1721271600,2469.0,2472.4,2468.7,2471.7,4120
1721275200,2471.7,2472.0,2468.2,2468.8,4050
1721278800,2468.8,2473.4,2468.5,2470.4,5190
