epoch,open,high,low,close,volume
1468209600,1371.7,1371.8,1353.0,1355.0,26
1468296000,1353.6,1356.0,1330.3,1334.1,252
1468382400,1341.5,1342.4,1336.7,1342.4,7
1468468800,1341.4,1341.4,1322.7,1331.3,20
1468555200,1333.7,1333.7,1322.9,1326.5,52
1468814400,1327.5,1335.0,1326.2,1328.4,54
1468900800,1328.5,1333.2,1326.4,1331.5,322
1468987200,1331.0,1337.5,1315.5,1318.8,751
1469073600,1312.8,1330.5,1312.8,1330.5,318
1469160000,1330.7,1330.7,1320.4,1323.1,55
1469419200,1315.7,1319.3,1313.8,1319.3,548
1469505600,1315.2,1320.7,1315.2,1320.7,63
1469592000,1326.0,1326.6,1326.0,1326.6,215388
1469678400,1339.5,1344.3,1330.1,1332.3,56908
1469764800,1333.2,1353.3,1325.8,1349.0,6076
1470024000,1348.8,1353.5,1345.6,1351.4,1257
1470110400,1352.1,1366.0,1346.6,1364.4,2941
1470196800,1362.4,1364.7,1353.3,1356.1,715
1470283200,1354.4,1361.6,1347.0,1358.8,381
1470369600,1357.6,1360.8,1333.7,1336.4,1107
1470628800,1330.0,1335.4,1327.8,1333.4,587
1470715200,1331.8,1339.4,1328.5,1339.0,620
1470801600,1344.8,1354.2,1344.3,1344.3,110
1470888000,1341.6,1350.4,1334.8,1342.5,666
1470974400,1336.8,1351.8,1333.2,1335.8,113
1471233600,1336.5,1340.6,1333.6,1340.3,62
1471320000,1342.2,1355.0,1341.0,1350.5,338
1471406400,1345.5,1347.3,1338.6,1342.7,135
1471492800,1351.3,1354.4,1348.2,1351.2,140
1471579200,1350.1,1350.1,1338.6,1340.4,197
1471838400,1334.4,1337.7,1333.3,1337.7,117
1471924800,1337.0,1341.2,1334.3,1340.6,551
1472011200,1337.2,1337.2,1322.9,1324.4,262
1472097600,1321.4,1324.0,1317.0,1320.1,58
1472184000,1323.8,1340.5,1320.1,1321.5,141
1472443200,1315.0,1323.0,1315.0,1322.9,437
1472529600,1322.0,1322.1,1308.0,1311.7,705
1472616000,1310.3,1313.7,1306.3,1306.9,214
1472702400,1305.3,1313.1,1301.5,1312.2,225
1472788800,1309.6,1326.7,1309.2,1322.1,55
1473134400,1323.3,1349.4,1323.2,1349.4,46
1473220800,1348.4,1350.5,1343.9,1344.3,14
1473307200,1344.8,1345.4,1335.7,1336.8,30
1473393600,1338.5,1338.5,1328.0,1330.1,35
1473652800,1327.0,1329.3,1319.9,1321.0,177
1473739200,1324.6,1324.6,1315.0,1319.0,79
1473825600,1319.2,1322.3,1319.2,1321.5,73
1473912000,1320.7,1320.7,1310.8,1313.5,37
1473998400,1312.2,1312.6,1305.8,1305.8,4
1474257600,1313.5,1313.5,1313.5,1313.5,20
1474344000,1313.7,1313.7,1313.7,1313.7,97
1474430400,1326.3,1326.9,1324.0,1326.9,76
1474516800,1338.6,1340.4,1338.2,1340.4,23
1474603200,1337.2,1337.2,1337.2,1337.2,40
1474862400,1335.2,1341.8,1335.2,1339.7,24
1474948800,1328.0,1328.7,1325.9,1325.9,48
1475035200,1319.4,1319.4,1319.4,1319.4,10551
1475121600,1321.2,1325.0,1314.7,1321.7,6108
1475208000,1320.6,1327.7,1312.9,1313.3,868
1475467200,1313.5,1316.8,1308.2,1309.0,299
1475553600,1307.6,1310.2,1266.3,1266.3,1893
1475640000,1272.1,1274.0,1261.3,1265.2,246
1475726400,1265.3,1265.3,1249.8,1249.8,114
1475812800,1253.9,1263.6,1248.9,1248.9,169
1476158400,1258.9,1258.9,1253.0,1253.0,26
1476244800,1251.7,1254.0,1251.1,1251.1,127
1476331200,1258.7,1259.0,1255.0,1255.0,315
1476417600,1253.9,1253.9,1250.6,1253.1,311
1476676800,1249.9,1255.0,1249.9,1254.4,41
1476763200,1260.9,1261.7,1260.8,1260.8,11
1476849600,1262.9,1271.5,1262.9,1267.9,219
1476936000,1270.0,1270.5,1265.5,1265.6,415
1477022400,1265.9,1265.9,1265.9,1265.9,224
1477281600,1269.2,1269.2,1261.8,1262.0,42
1477368000,1264.1,1274.1,1264.1,1271.9,61
1477454400,1274.0,1274.0,1264.8,1264.8,279
1477540800,1269.4,1269.4,1267.9,1267.9,338
1477627200,1270.3,1281.5,1262.0,1275.5,560
1477886400,1276.6,1276.6,1271.5,1271.5,58
1477972800,1279.3,1290.7,1279.0,1286.4,49
1478059200,1288.3,1307.0,1288.3,1306.8,30
1478145600,1296.4,1303.1,1287.3,1302.1,73
1478232000,1300.0,1303.3,1296.7,1303.3,11
1478494800,1292.0,1294.5,1278.3,1278.3,34
1478581200,1284.1,1289.4,1273.2,1273.4,50
1478667600,1272.2,1318.6,1270.0,1272.6,108
1478754000,1274.4,1287.5,1253.3,1265.5,63
1479099600,1227.8,1229.5,1210.4,1221.2,216
1479186000,1224.3,1226.0,1222.5,1224.0,20
1479272400,1229.3,1229.3,1223.0,1223.4,66
1479358800,1224.6,1225.0,1211.0,1216.5,1139
1479445200,1211.9,1211.9,1207.2,1208.5,607
1479704400,1209.6,1209.6,1209.6,1209.6,19
1479790800,1210.4,1211.1,1207.6,1211.0,19
1479877200,1212.8,1213.8,1186.8,1189.1,309
1480050000,1177.0,1189.3,1177.0,1178.2,14
1480309200,1188.0,1190.6,1188.0,1190.6,189914
1480395600,1193.2,1194.8,1179.4,1187.9,42124
1480482000,1187.1,1193.3,1167.9,1170.8,7158
1480568400,1172.7,1174.6,1160.0,1166.9,1588
1480654800,1172.3,1177.3,1166.4,1175.1,1521
1480914000,1181.8,1186.7,1157.0,1174.0,358
1481000400,1170.9,1174.5,1167.1,1167.6,652
1481086800,1167.7,1178.5,1166.4,1175.0,182
1481173200,1173.8,1177.8,1169.1,1169.8,322
1481259600,1166.6,1168.8,1156.0,1159.4,365
1481518800,1158.3,1163.9,1153.0,1163.5,331
1481605200,1163.5,1164.0,1155.4,1156.7,637
1481691600,1159.8,1164.0,1142.0,1161.3,487
1481778000,1139.8,1143.3,1123.9,1127.8,244
1481864400,1126.9,1140.9,1126.9,1135.3,146
1482123600,1139.4,1140.7,1137.9,1140.5,249
1482210000,1133.5,1133.5,1126.5,1131.5,46
1482296400,1136.1,1136.1,1130.0,1131.1,50
1482382800,1131.2,1132.8,1128.3,1128.8,104
1482469200,1130.9,1132.8,1130.3,1131.9,70
1482814800,1134.3,1142.2,1134.3,1137.3,84
1482901200,1141.2,1141.2,1138.0,1139.4,1570
1482987600,1143.8,1158.8,1143.6,1156.4,950
1483074000,1162.0,1162.0,1150.0,1150.0,16
1483419600,1155.2,1160.8,1146.5,1160.4,52
1483506000,1156.3,1165.0,1156.3,1163.8,36
1483592400,1172.0,1183.3,1171.5,1179.7,500
1483678800,1176.5,1176.5,1171.9,1171.9,16
1483938000,1173.9,1183.6,1173.0,1183.5,62
1484024400,1184.3,1188.9,1182.3,1184.2,8
1484110800,1187.5,1197.0,1176.5,1195.6,20
1484197200,1192.7,1204.3,1192.3,1198.9,110
1484283600,1195.7,1196.0,1187.7,1195.3,65
1484629200,1205.5,1214.6,1200.8,1212.0,79
1484715600,1213.6,1214.7,1203.1,1211.3,114
1484802000,1200.5,1204.0,1195.8,1200.9,26
1484888400,1202.8,1212.1,1202.8,1204.3,38
1485147600,1212.0,1215.0,1210.0,1215.0,16
1485234000,1219.0,1219.0,1207.7,1210.3,24
1485320400,1202.0,1202.8,1194.9,1197.3,403
1485406800,1199.7,1199.7,1185.6,1189.5,19
1485493200,1187.9,1188.3,1187.9,1188.1,234352
1485752400,1191.7,1198.5,1187.1,1193.2,50503
1485838800,1194.9,1214.7,1193.5,1208.6,3212
1485925200,1211.9,1211.9,1197.9,1205.6,1145
1486011600,1209.7,1224.2,1208.9,1216.7,1512
1486098000,1214.9,1220.6,1206.2,1218.5,865
1486357200,1221.9,1235.4,1218.5,1230.0,908
1486443600,1234.2,1236.2,1228.5,1234.2,1177
1486530000,1232.1,1243.9,1231.0,1237.6,288
1486616400,1239.4,1243.5,1226.9,1235.1,885
1486702800,1227.6,1234.4,1221.5,1234.4,391
1486962000,1230.5,1231.1,1219.0,1224.4,398
1487048400,1225.9,1233.5,1222.1,1223.9,159
1487134800,1225.5,1231.7,1217.3,1231.7,175
1487221200,1234.5,1240.7,1233.2,1240.0,87
1487307600,1240.7,1241.2,1234.8,1237.6,301
1487653200,1237.3,1237.5,1228.1,1237.5,119
1487739600,1236.1,1238.6,1231.8,1232.0,36
1487826000,1236.1,1250.3,1236.1,1250.2,112
1487912400,1250.0,1258.8,1250.0,1256.9,1264
1488171600,1254.7,1263.1,1250.4,1257.4,544
1488258000,1253.6,1257.3,1247.2,1252.6,721
